RAJ2000,DEJ2000,Ktmag,cz
157.61037,-35.35950,8.116,3804
131.77258,-33.76406,7.988,2257
181.01595,31.89579,8.204,760
198.21608,-43.09623,8.106,3121
58.00346,-83.83068,8.072,1753
330.17181,17.73807,8.145,1140
198.55682,-42.96127,8.091,3765
215.30455,-46.29790,8.132,1691
176.76906,-16.85460,8.011,1196
184.04887,47.88337,8.127,916
213.31209,-3.20756,8.167,1853
295.91959,56.10946,8.149,3386
194.53265,-46.26424,8.145,2181
93.04019,-21.80595,8.101,2306
234.66582,59.35588,8.145,3017
209.05002,5.01446,7.792,1241
333.34042,-46.01761,8.167,1936
237.45645,-29.38683,8.140,2112
186.71091,9.58418,8.164,854
193.64874,-12.56861,8.058,4618
54.68694,-44.10061,8.149,993
191.13326,11.19052,8.194,1083
57.56205,70.09470,8.187,1232
190.30534,10.15575,8.151,1864
281.82559,-63.33116,8.129,4507
40.81271,32.42497,8.131,5190
220.59970,-17.25317,8.135,2921
157.50273,-35.32546,8.117,2790
185.86642,46.99382,8.174,770
190.69762,11.44247,8.200,1164
170.01582,18.35681,8.151,1493
248.80881,-58.08003,8.139,2741
219.79607,5.36355,8.128,1505
243.94202,-60.91871,8.155,3839
53.81914,-35.22625,8.157,1475
56.26214,-18.26604,8.166,1597
193.21164,-42.65993,8.192,2094
203.16920,-77.84463,8.174,2950
171.26030,-9.79538,8.252,1885
281.27634,-62.29723,8.181,1185
199.42786,-32.10170,8.184,2310
228.44048,-14.26982,8.127,1957
55.58097,-35.39263,8.135,1410
211.66864,-55.35730,8.077,3792
193.47064,-39.71432,8.187,2995
182.37411,43.68529,8.197,888
183.89279,-35.62975,8.132,2948
139.08228,-23.63324,8.202,2559
274.94339,74.56837,8.266,1484
165.84903,-23.08679,8.044,1125
243.76605,-60.90725,8.170,5448
142.90256,-16.73476,8.197,2137
199.88187,-12.65701,8.199,2806
101.94249,74.48183,8.182,4059
319.13492,-48.36355,8.198,2036
139.65295,-38.01009,8.172,2530
229.18007,55.40926,8.241,3306
183.91322,36.32689,7.900,291
