10 22 49.31 +50 07 38.89 47757  45 1 1
10 22 53.53 +50 06 54.32 48545  54 1 1
10 22 56.44 +50 05 12.16 48758  33 1 1
10 23 07.99 +50 18 43.81 46147  54 1 1
10 23 10.11 +50 17 47.29 46995  42 1 1
10 23 12.00 +50 08 25.30 46006  36 1 1
10 23 15.45 +49 02 48.19 42897  51 1 1
10 23 17.20 +50 05 16.30 45008  51 1 1
10 23 18.29 +50 10 16.75 47127  51 1 1
10 23 19.90 +50 21 59.15 45871  42 1 1
10 23 21.51 +50 00 22.61 47028  54 1 1
10 23 21.73 +50 18 29.41 45568  57 1 1
10 23 22.34 +49 02 09.46 43194  54 1 1
10 23 26.23 +49 05 52.69 43320  39 1 1
10 23 26.25 +48 54 39.31 41971  45 1 1
10 23 26.68 +49 12 16.34 43035  72 1 1
10 23 32.62 +49 09 03.42 40769  51 1 1
10 23 37.79 +49 01 31.58 43170  54 1 1
10 23 39.60 +49 12 50.51 41953  42 1 1
10 23 39.63 +04 11 10.64 86913 246 1 1
10 23 39.93 +49 08 38.44 42603  57 1 1
10 23 40.70 +49 08 41.46 42701  10 1 1
10 23 47.89 +49 11 28.18 43158  51 1 1
10 23 47.95 +50 09 30.35 46795  33 1 1
10 23 48.61 +48 56 29.29 42711  48 1 1
10 23 50.91 +48 54 34.24 41542  45 1 1
10 23 50.95 +49 00 45.83 41911  48 1 1
10 23 55.00 +49 18 21.56 43182  45 1 1
10 23 57.82 +50 16 19.85 46762  48 1 1
10 23 58.59 +50 17 31.81 47094  51 1 1
10 24 00.86 +49 08 01.14 41857  51 1 1
10 24 05.53 +50 07 01.63 46843  45 1 1
10 24 13.23 +50 13 49.66 46998  48 1 1
10 24 14.04 +50 00 36.22 47202  48 1 1
10 24 14.36 +49 05 30.95 42121  48 1 1
10 24 21.37 +50 09 30.31 46504  42 1 1
10 24 26.36 +49 58 27.98 46881  48 1 1
10 24 29.21 +50 24 36.04 46264  30 1 1
10 24 30.13 +50 14 08.27 46528  42 1 1
10 24 31.81 +49 20 12.98 43074  48 1 1
10 24 33.24 +49 04 48.61 43152  45 1 1
10 24 35.57 +49 03 23.72 43071  48 1 1
10 24 37.14 +50 13 28.88 46519  48 1 1
10 24 38.04 +50 17 23.42 46357  30 1 1
10 24 47.08 +49 16 07.07 42540  48 1 1
10 24 48.86 +12 28 44.22 43026  39 1 1
10 24 58.17 +50 09 58.39 46276  63 1 1
10 25 00.39 +12 29 55.50 42663  57 1 1
10 25 04.94 +50 09 15.84 47028  33 1 1
10 25 10.22 +12 46 31.62 42567  48 1 1
10 25 10.97 +49 15 42.66 42292  39 1 1
10 25 11.03 +49 53 47.44 46393  51 1 1
10 25 11.10 +50 09 17.89 46270  54 1 1
10 25 28.98 +50 04 06.20 46810  51 1 1
10 25 38.86 +12 59 26.38 42172  48 1 1
10 25 50.22 +12 52 52.82 42292  45 1 1
10 25 51.94 +12 45 21.74 43059  48 1 1
10 25 52.24 +12 22 30.29 42720  51 1 1
10 25 56.00 +12 34 43.97 42852  51 1 1
10 25 57.99 +12 41 08.41 42651  75 1 1
10 26 09.66 +12 44 33.14 42939  33 1 1
10 26 10.97 +12 50 49.34 41587  33 1 1
10 26 24.81 +12 34 45.01 42250  60 1 1
10 26 29.61 +12 30 59.76 42403  51 1 1
10 26 43.92 +12 26 37.21 42328  48 1 1
10 26 59.96 +12 35 30.77 42358  57 1 1
10 27 04.83 +12 35 59.82 42834  45 1 1
10 27 11.20 +12 36 25.02 42828  48 1 1
10 28 15.84 +34 23 58.60 36725  06 1 1
10 28 45.38 +36 35 38.76 36504  08 1 1
10 29 13.06 +34 31 09.41 36582  03 1 1
10 29 16.37 +35 11 06.36 36919  45 1 1
10 29 20.03 +34 32 11.36 36661  05 1 1
10 29 20.93 +35 10 44.83 36719  42 1 1
10 29 34.14 +35 44 12.95 36718  04 1 1
